"sequence","prokka_descrip","max_annot_lvl","Preferred_name","Description","EC","KEGG_ko","CAZy","PFAMs","Preferred_name2","AMR_descrip","Class","Subclass","percent_ident"
"HEBPGAIP_00001","Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase","91061|Bacilli","-","Glycosyl transferases group 1","2.4.1.52","ko:K00712","GT4","Glycos_transf_1",NA,NA,NA,NA,NA
"HEBPGAIP_00002","IS30 family transposase ISPp1","91061|Bacilli","-","Transposase and inactivated derivatives, IS30 family","-","-","-","HTH_38,rve",NA,NA,NA,NA,NA
"HEBPGAIP_00003","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00004","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00005","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00006","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00007","IS30 family transposase ISLpl1","91061|Bacilli","-","Transposase and inactivated derivatives, IS30 family","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00008","hypothetical protein","91061|Bacilli","-","hydrolase, family 25","-","ko:K07273","-","Glyco_hydro_25",NA,NA,NA,NA,NA
"HEBPGAIP_00009","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00010","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00011","hypothetical protein","2|Bacteria","-","amidase activity","3.5.1.28","ko:K01448,ko:K02395","-","Amidase_3,CW_binding_1,GBS_Bsp-like,Glucosaminidase,LysM,Peptidase_C39_2,Rod-binding",NA,NA,NA,NA,NA
"HEBPGAIP_00012","hypothetical protein","91061|Bacilli","-","CHAP domain","-","-","-","Amidase_5,Beta-lactamase2,CHAP,NLPC_P60",NA,NA,NA,NA,NA
"HEBPGAIP_00013","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00014","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00015","hypothetical protein","2|Bacteria","-","Belongs to the peptidase S16 family","-","-","-","AAA_16,AAA_22,CHAT,TPR_12,TniB",NA,NA,NA,NA,NA
"HEBPGAIP_00016","hypothetical protein","91061|Bacilli","-","MazG-like family","-","-","-","MazG-like",NA,NA,NA,NA,NA
"HEBPGAIP_00017","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00018","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00019","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00020","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
